 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     FBC                     CNH                     ABER
 1          1          1.00000000       1          1          1          6.31579293e+02   -6.31579293e+02  0.00000000e+00  
 1          1          1.00000000       1          1          2          1.13686838e-13   0.00000000e+00   1.13686838e-13  
 1          1          1.00000000       1          1          3          -4.54747351e-13  0.00000000e+00   -4.54747351e-13 
 1          1          1.00000000       1          1          4          -1.13686838e-13  0.00000000e+00   -1.13686838e-13 
 1          1          1.00000000       1          1          5          4.54747351e-13   0.00000000e+00   4.54747351e-13  
 1          1          1.00000000       1          1          6          6.82121026e-13   0.00000000e+00   6.82121026e-13  
 1          1          1.00000000       1          1          7          -1.47792889e-12  0.00000000e+00   -1.47792889e-12 
 1          1          1.00000000       1          1          8          1.70530257e-12   0.00000000e+00   1.70530257e-12  
 1          1          1.00000000       1          1          9          -7.95807864e-13  0.00000000e+00   -7.95807864e-13 
 1          1          1.00000000       1          1          10         -1.93267624e-12  0.00000000e+00   -1.93267624e-12 
 1          1          1.00000000       1          1          11         2.50111043e-12   0.00000000e+00   2.50111043e-12  
 1          1          1.00000000       1          1          12         6.82121026e-13   0.00000000e+00   6.82121026e-13  
 1          1          1.00000000       1          1          13         -2.04636308e-12  0.00000000e+00   -2.04636308e-12 
 1          1          1.00000000       1          1          14         6.82121026e-13   0.00000000e+00   6.82121026e-13  
 1          1          1.00000000       1          1          15         1.13686838e-13   0.00000000e+00   1.13686838e-13  
 1          1          1.00000000       1          1          16         -9.09494702e-13  0.00000000e+00   -9.09494702e-13 
 1          1          1.00000000       1          1          17         -5.68434189e-13  0.00000000e+00   -5.68434189e-13 
 1          1          1.00000000       1          1          18         1.02318154e-12   0.00000000e+00   1.02318154e-12  
 1          1          1.00000000       1          1          19         1.93267624e-12   0.00000000e+00   1.93267624e-12  
 1          1          1.00000000       1          1          20         -6.31579293e+02  6.31579293e+02   0.00000000e+00  
