 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD             DrawDown
 1          1          1.00000000       1          1          1          62.50000000      -25.00000000     0.00000000          
 1          1          1.00000000       1          1          2          187.50000000     -25.00000000     37.29021842         
 1          1          1.00000000       1          1          3          312.50000000     -25.00000000     35.06423308         
 1          1          1.00000000       1          1          4          437.50000000     -25.00000000     33.12944227         
 1          1          1.00000000       1          1          5          562.50000000     -25.00000000     31.39477803         
 1          1          1.00000000       1          1          6          687.50000000     -25.00000000     29.80859525         
 1          1          1.00000000       1          1          7          812.50000000     -25.00000000     28.33825167         
 1          1          1.00000000       1          1          8          937.50000000     -25.00000000     26.96155752         
 1          1          1.00000000       1          1          9          1062.50000000    -25.00000000     25.66261514         
 1          1          1.00000000       1          1          10         1187.50000000    -25.00000000     24.42957267         
 1          1          1.00000000       1          1          11         1312.50000000    -25.00000000     23.25331439         
 1          1          1.00000000       1          1          12         1437.50000000    -25.00000000     22.12665041         
 1          1          1.00000000       1          1          13         1562.50000000    -25.00000000     21.04379110         
 1          1          1.00000000       1          1          14         1687.50000000    -25.00000000     19.99999259         
 1          1          1.00000000       1          1          15         1812.50000000    -25.00000000     18.99131008         
 1          1          1.00000000       1          1          16         1937.50000000    -25.00000000     18.01442116         
 1          1          1.00000000       1          1          17         2062.50000000    -25.00000000     17.06649645         
 1          1          1.00000000       1          1          18         2187.50000000    -25.00000000     16.14510289         
 1          1          1.00000000       1          1          19         2312.50000000    -25.00000000     15.24813009         
 1          1          1.00000000       1          1          20         2437.50000000    -25.00000000     14.37373345         
 1          1          1.00000000       1          1          21         2562.50000000    -25.00000000     13.52028952         
 1          1          1.00000000       1          1          22         2687.50000000    -25.00000000     12.68636054         
 1          1          1.00000000       1          1          23         2812.50000000    -25.00000000     11.87066607         
 1          1          1.00000000       1          1          24         2937.50000000    -25.00000000     11.07205981         
 1          1          1.00000000       1          1          25         3062.50000000    -25.00000000     10.28951078         
 1          1          1.00000000       1          1          26         3187.50000000    -25.00000000     9.52208769          
 1          1          1.00000000       1          1          27         3312.50000000    -25.00000000     8.76894591          
 1          1          1.00000000       1          1          28         3437.50000000    -25.00000000     8.02931661          
 1          1          1.00000000       1          1          29         3562.50000000    -25.00000000     7.30249760          
 1          1          1.00000000       1          1          30         3687.50000000    -25.00000000     6.58784542          
 1          1          1.00000000       1          1          31         3812.50000000    -25.00000000     5.88476880          
 1          1          1.00000000       1          1          32         3937.50000000    -25.00000000     5.19272282          
 1          1          1.00000000       1          1          33         4062.50000000    -25.00000000     4.51120403          
 1          1          1.00000000       1          1          34         4187.50000000    -25.00000000     3.83974616          
 1          1          1.00000000       1          1          35         4312.50000000    -25.00000000     3.17791637          
 1          1          1.00000000       1          1          36         4437.50000000    -25.00000000     2.52531198          
 1          1          1.00000000       1          1          37         4562.50000000    -25.00000000     1.88155765          
 1          1          1.00000000       1          1          38         4687.50000000    -25.00000000     1.24630280          
 1          1          1.00000000       1          1          39         4812.50000000    -25.00000000     0.61921940          
 1          1          1.00000000       1          1          40         4937.50000000    -25.00000000     0.00000000          
