 IPER  ISTEP           DLEN           ILYR    IROW   ICOL            XCORD               YCORD                      FlowX                    FlowY                   FlowZ
 1          1          1.00000000       1          1          1          62.50000000      -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          2          187.50000000     -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          3          312.50000000     -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          4          437.50000000     -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          5          562.50000000     -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          6          687.50000000     -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          7          812.50000000     -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          8          937.50000000     -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          9          1062.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          10         1187.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          11         1312.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          12         1437.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          13         1562.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          14         1687.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          15         1812.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          16         1937.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          17         2062.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          18         2187.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          19         2312.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          20         2437.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          21         2562.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          22         2687.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          23         2812.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          24         2937.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          25         3062.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          26         3187.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          27         3312.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          28         3437.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          29         3562.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          30         3687.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          31         3812.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          32         3937.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          33         4062.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          34         4187.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          35         4312.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          36         4437.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          37         4562.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          38         4687.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          39         4812.50000000    -25.00000000     -6.15385093e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          40         4937.50000000    -25.00000000     0.00000000e+00   0.00000000e+00   0.00000000e+00  
