 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          1          1.00000000       1          1          1          62.50000000      -25.00000000     10.00000000         
 1          1          1.00000000       1          1          2          187.50000000     -25.00000000     12.70978158         
 1          1          1.00000000       1          1          3          312.50000000     -25.00000000     14.93576692         
 1          1          1.00000000       1          1          4          437.50000000     -25.00000000     16.87055773         
 1          1          1.00000000       1          1          5          562.50000000     -25.00000000     18.60522197         
 1          1          1.00000000       1          1          6          687.50000000     -25.00000000     20.19140475         
 1          1          1.00000000       1          1          7          812.50000000     -25.00000000     21.66174833         
 1          1          1.00000000       1          1          8          937.50000000     -25.00000000     23.03844248         
 1          1          1.00000000       1          1          9          1062.50000000    -25.00000000     24.33738486         
 1          1          1.00000000       1          1          10         1187.50000000    -25.00000000     25.57042733         
 1          1          1.00000000       1          1          11         1312.50000000    -25.00000000     26.74668561         
 1          1          1.00000000       1          1          12         1437.50000000    -25.00000000     27.87334959         
 1          1          1.00000000       1          1          13         1562.50000000    -25.00000000     28.95620890         
 1          1          1.00000000       1          1          14         1687.50000000    -25.00000000     30.00000741         
 1          1          1.00000000       1          1          15         1812.50000000    -25.00000000     31.00868992         
 1          1          1.00000000       1          1          16         1937.50000000    -25.00000000     31.98557884         
 1          1          1.00000000       1          1          17         2062.50000000    -25.00000000     32.93350355         
 1          1          1.00000000       1          1          18         2187.50000000    -25.00000000     33.85489711         
 1          1          1.00000000       1          1          19         2312.50000000    -25.00000000     34.75186991         
 1          1          1.00000000       1          1          20         2437.50000000    -25.00000000     35.62626655         
 1          1          1.00000000       1          1          21         2562.50000000    -25.00000000     36.47971048         
 1          1          1.00000000       1          1          22         2687.50000000    -25.00000000     37.31363946         
 1          1          1.00000000       1          1          23         2812.50000000    -25.00000000     38.12933393         
 1          1          1.00000000       1          1          24         2937.50000000    -25.00000000     38.92794019         
 1          1          1.00000000       1          1          25         3062.50000000    -25.00000000     39.71048922         
 1          1          1.00000000       1          1          26         3187.50000000    -25.00000000     40.47791231         
 1          1          1.00000000       1          1          27         3312.50000000    -25.00000000     41.23105409         
 1          1          1.00000000       1          1          28         3437.50000000    -25.00000000     41.97068339         
 1          1          1.00000000       1          1          29         3562.50000000    -25.00000000     42.69750240         
 1          1          1.00000000       1          1          30         3687.50000000    -25.00000000     43.41215458         
 1          1          1.00000000       1          1          31         3812.50000000    -25.00000000     44.11523120         
 1          1          1.00000000       1          1          32         3937.50000000    -25.00000000     44.80727718         
 1          1          1.00000000       1          1          33         4062.50000000    -25.00000000     45.48879597         
 1          1          1.00000000       1          1          34         4187.50000000    -25.00000000     46.16025384         
 1          1          1.00000000       1          1          35         4312.50000000    -25.00000000     46.82208363         
 1          1          1.00000000       1          1          36         4437.50000000    -25.00000000     47.47468802         
 1          1          1.00000000       1          1          37         4562.50000000    -25.00000000     48.11844235         
 1          1          1.00000000       1          1          38         4687.50000000    -25.00000000     48.75369720         
 1          1          1.00000000       1          1          39         4812.50000000    -25.00000000     49.38078060         
 1          1          1.00000000       1          1          40         4937.50000000    -25.00000000     50.00000000         
