 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     FBC                     CNH                     ABER
 1          1          1.00000000       1          1          1          6.36163863e+02   -6.36163863e+02  0.00000000e+00  
 1          1          1.00000000       1          1          2          1.13686838e-13   0.00000000e+00   1.13686838e-13  
 1          1          1.00000000       1          1          3          -0.00000000e+00  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          4          -5.68434189e-13  0.00000000e+00   -5.68434189e-13 
 1          1          1.00000000       1          1          5          1.36424205e-12   0.00000000e+00   1.36424205e-12  
 1          1          1.00000000       1          1          6          -2.38742359e-12  0.00000000e+00   -2.38742359e-12 
 1          1          1.00000000       1          1          7          2.72848411e-12   0.00000000e+00   2.72848411e-12  
 1          1          1.00000000       1          1          8          -2.72848411e-12  0.00000000e+00   -2.72848411e-12 
 1          1          1.00000000       1          1          9          3.52429197e-12   0.00000000e+00   3.52429197e-12  
 1          1          1.00000000       1          1          10         -4.88853402e-12  0.00000000e+00   -4.88853402e-12 
 1          1          1.00000000       1          1          11         3.75166564e-12   0.00000000e+00   3.75166564e-12  
 1          1          1.00000000       1          1          12         7.95807864e-13   0.00000000e+00   7.95807864e-13  
 1          1          1.00000000       1          1          13         -4.54747351e-13  0.00000000e+00   -4.54747351e-13 
 1          1          1.00000000       1          1          14         -1.59161573e-12  0.00000000e+00   -1.59161573e-12 
 1          1          1.00000000       1          1          15         -2.16004992e-12  0.00000000e+00   -2.16004992e-12 
 1          1          1.00000000       1          1          16         4.43378667e-12   0.00000000e+00   4.43378667e-12  
 1          1          1.00000000       1          1          17         -6.25277607e-12  0.00000000e+00   -6.25277607e-12 
 1          1          1.00000000       1          1          18         8.98126018e-12   0.00000000e+00   8.98126018e-12  
 1          1          1.00000000       1          1          19         -6.59383659e-12  0.00000000e+00   -6.59383659e-12 
 1          1          1.00000000       1          1          20         -6.36163863e+02  6.36163863e+02   0.00000000e+00  
