 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD             DrawDown
 1          1          1.00000000       1          1          1          246.51590723     -25.00000000     0.00000000          
 1          1          1.00000000       1          1          2          719.82644910     -25.00000000     31.45477551         
 1          1          1.00000000       1          1          3          1155.27214762    -25.00000000     26.19473358         
 1          1          1.00000000       1          1          4          1555.88219027    -25.00000000     22.22897850         
 1          1          1.00000000       1          1          5          1924.44342950    -25.00000000     19.02857277         
 1          1          1.00000000       1          1          6          2263.51976959    -25.00000000     16.35338833         
 1          1          1.00000000       1          1          7          2575.47000247    -25.00000000     14.06848809         
 1          1          1.00000000       1          1          8          2862.46421673    -25.00000000     12.08829366         
 1          1          1.00000000       1          1          9          3126.49889384    -25.00000000     10.35408674         
 1          1          1.00000000       1          1          10         3369.41079679    -25.00000000     8.82328771          
 1          1          1.00000000       1          1          11         3592.88974750    -25.00000000     7.46373154          
 1          1          1.00000000       1          1          12         3798.49038215    -25.00000000     6.25034740          
 1          1          1.00000000       1          1          13         3987.64296603    -25.00000000     5.16310634          
 1          1          1.00000000       1          1          14         4161.66334320    -25.00000000     4.18568728          
 1          1          1.00000000       1          1          15         4321.76209020    -25.00000000     3.30457358          
 1          1          1.00000000       1          1          16         4469.05293743    -25.00000000     2.50842007          
 1          1          1.00000000       1          1          17         4604.56051689    -25.00000000     1.78759660          
 1          1          1.00000000       1          1          18         4729.22748999    -25.00000000     1.13385065          
 1          1          1.00000000       1          1          19         4843.92110524    -25.00000000     0.54005265          
 1          1          1.00000000       1          1          20         4949.43923128    -25.00000000     0.00000000          
