 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          1          1.00000000       1          1          1          246.51590723     -25.00000000     10.00000000         
 1          1          1.00000000       1          1          2          719.82644910     -25.00000000     18.54522449         
 1          1          1.00000000       1          1          3          1155.27214762    -25.00000000     23.80526642         
 1          1          1.00000000       1          1          4          1555.88219027    -25.00000000     27.77102150         
 1          1          1.00000000       1          1          5          1924.44342950    -25.00000000     30.97142723         
 1          1          1.00000000       1          1          6          2263.51976959    -25.00000000     33.64661167         
 1          1          1.00000000       1          1          7          2575.47000247    -25.00000000     35.93151191         
 1          1          1.00000000       1          1          8          2862.46421673    -25.00000000     37.91170634         
 1          1          1.00000000       1          1          9          3126.49889384    -25.00000000     39.64591326         
 1          1          1.00000000       1          1          10         3369.41079679    -25.00000000     41.17671229         
 1          1          1.00000000       1          1          11         3592.88974750    -25.00000000     42.53626846         
 1          1          1.00000000       1          1          12         3798.49038215    -25.00000000     43.74965260         
 1          1          1.00000000       1          1          13         3987.64296603    -25.00000000     44.83689366         
 1          1          1.00000000       1          1          14         4161.66334320    -25.00000000     45.81431272         
 1          1          1.00000000       1          1          15         4321.76209020    -25.00000000     46.69542642         
 1          1          1.00000000       1          1          16         4469.05293743    -25.00000000     47.49157993         
 1          1          1.00000000       1          1          17         4604.56051689    -25.00000000     48.21240340         
 1          1          1.00000000       1          1          18         4729.22748999    -25.00000000     48.86614935         
 1          1          1.00000000       1          1          19         4843.92110524    -25.00000000     49.45994735         
 1          1          1.00000000       1          1          20         4949.43923128    -25.00000000     50.00000000         
