 IPER  ISTEP           DLEN           ILYR    IROW   ICOL            XCORD               YCORD                      FlowX                    FlowY                   FlowZ
 1          1          1.00000000       1          1          1          123.25795360     -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          2          369.77386080     -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          3          606.42913170     -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          4          833.22376630     -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          5          1050.94661555    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          6          1259.59767945    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          7          1459.90270080    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          8          1651.86167960    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          9          1836.14229925    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          10         2012.74455975    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          11         2182.28272980    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          12         2344.75680940    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          13         2500.73192585    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          14         2650.20807915    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          15         2793.70518630    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          16         2931.22324730    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          17         3063.24058585    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          18         3189.75720195    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          19         3311.21315340    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          20         3427.60844020    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          21         3539.34791555    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          22         3646.43157945    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          23         3749.23189679    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          24         3847.74886756    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          25         3942.32515950    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          26         4032.96077261    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          27         4119.97096119    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          28         4203.35572525    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          29         4283.40509875    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          30         4360.11908169    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          31         4433.76450531    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          32         4504.34136961    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          33         4572.09515934    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          34         4637.02587450    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          35         4699.35936105    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          36         4759.09561899    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          37         4816.44242661    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          38         4871.39978392    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          39         4924.15884694    -25.00000000     -6.18038240e+02  0.00000000e+00   0.00000000e+00  
 1          1          1.00000000       1          1          40         4974.71961566    -25.00000000     0.00000000e+00   0.00000000e+00   0.00000000e+00  
