 IPER     ISTEP     TLEN                    STAIN                    GHBIN                    DRNIN                    STAOUT                    GHBOUT                    DRNOUT                    ABER                    RBER
 1          1          1.00000000       6.37175358e+00   3.69039152e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.32756687e+01   -1.29372069e-09  -2.98948745e-09 
 1          2          2.00000000       7.45705398e+00   7.61202529e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.35773068e+01   -2.25944063e-09  -2.70341402e-09 
 1          3          3.00000000       7.70107014e+00   1.15765601e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.23466671e+02   -3.10780734e-09  -2.51712825e-09 
 1          4          4.00000000       7.75490689e+00   1.55500326e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.63255233e+02   -4.04551059e-09  -2.47803247e-09 
 1          5          5.00000000       7.76670789e+00   1.95253865e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.03020573e+02   -5.33815125e-09  -2.62935769e-09 
 1          6          6.00000000       7.76927142e+00   2.35011438e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.42780710e+02   -1.67478433e-07  -6.89834010e-08 
 1          7          7.00000000       7.76982987e+00   2.74769871e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.82539714e+02   -1.31801875e-05  -4.66489740e-06 
 1          8          8.00000000       7.76995304e+00   3.14528470e+02   0.00000000e+00   1.38516518e-10   0.00000000e+00   3.22298493e+02   -7.01698473e-05  -2.17716981e-05 
 1          9          9.00000000       7.76997601e+00   3.54287116e+02   0.00000000e+00   1.08163103e-06   0.00000000e+00   3.62057211e+02   -1.19910592e-04  -3.31192441e-05 
 1          10         10.00000000      7.76998104e+00   3.94045766e+02   0.00000000e+00   1.19436909e-06   0.00000000e+00   4.01815924e+02   -1.77556837e-04  -4.41886110e-05 
 2          1          11.00000000      4.10662800e+01   3.94045766e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   4.22723163e+02   -1.77547756e-04  -4.08050572e-05 
 2          2          12.00000000      5.43543484e+01   3.96855321e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   4.38820785e+02   -1.77547979e-04  -3.93493217e-05 
 2          3          13.00000000      6.05144527e+01   4.04289065e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   4.52414634e+02   -1.77548384e-04  -3.81985813e-05 
 2          4          14.00000000      6.35847076e+01   4.13454259e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   4.64650083e+02   -1.77548659e-04  -3.72188937e-05 
 2          5          15.00000000      6.51635296e+01   4.23373141e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   4.76147787e+02   -1.77549089e-04  -3.63430358e-05 
 2          6          16.00000000      6.59786878e+01   4.33646521e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   4.87236325e+02   -1.77549492e-04  -3.55365296e-05 
 2          7          17.00000000      6.63961112e+01   4.44094805e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   4.98102032e+02   -1.77297867e-04  -3.47308504e-05 
 2          8          18.00000000      6.66108563e+01   4.54630960e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   5.08852932e+02   -1.77297966e-04  -3.40145266e-05 
 2          9          19.00000000      6.67213199e+01   4.65211288e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   5.19543724e+02   -1.77298377e-04  -3.33309793e-05 
 2          10         20.00000000      6.67780322e+01   4.75814285e+02   0.00000000e+00   1.19436909e-06   1.23890599e+01   5.30203433e+02   -1.77298724e-04  -3.26762266e-05 
 3          1          21.00000000      6.67780322e+01   5.42809740e+02   0.00000000e+00   4.68471177e+01   1.23890599e+01   5.50351772e+02   -1.77299455e-04  -2.90851354e-05 
 3          2          22.00000000      6.67780322e+01   5.85951200e+02   0.00000000e+00   5.66484082e+01   1.23890599e+01   5.83691942e+02   -1.77300115e-04  -2.71628851e-05 
 3          3          23.00000000      6.67780322e+01   6.26392385e+02   0.00000000e+00   5.85263567e+01   1.23890599e+01   6.22255178e+02   -1.77301903e-04  -2.55783969e-05 
 3          4          24.00000000      6.67780322e+01   6.66297771e+02   0.00000000e+00   5.89065383e+01   1.23890599e+01   6.61780382e+02   -1.77302902e-04  -2.41861591e-05 
 3          5          25.00000000      6.67780322e+01   7.06089044e+02   0.00000000e+00   5.89846710e+01   1.23890599e+01   7.01493523e+02   -1.77303011e-04  -2.29409424e-05 
 3          6          26.00000000      6.67780322e+01   7.45854809e+02   0.00000000e+00   5.90012446e+01   1.23890599e+01   7.41242714e+02   -1.77303369e-04  -2.18183835e-05 
 3          7          27.00000000      6.67780322e+01   7.85615057e+02   0.00000000e+00   5.90048009e+01   1.23890599e+01   7.80999406e+02   -1.77096932e-04  -2.07764371e-05 
 3          8          28.00000000      6.67780322e+01   8.25374120e+02   0.00000000e+00   5.90055672e+01   1.23890599e+01   8.20757687e+02   -1.61522495e-04  -1.81048132e-05 
 3          9          29.00000000      6.67780322e+01   8.65133043e+02   0.00000000e+00   5.90057151e+01   1.23890599e+01   8.60516185e+02   1.15138630e-04   1.23551099e-05  
 3          10         30.00000000      6.67780340e+01   9.04891803e+02   0.00000000e+00   5.90057739e+01   1.23890599e+01   9.00274864e+02   1.39967974e-04   1.44048913e-05  
