 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  DRNOUT                  ABER
 1          1          1.00000000       1          7.20000060e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.20012849e-09   0.00000000e+00   0.00000000e+00   -1.27897692e-13 
 1          1          1.00000000       2          9.60000079e-09   7.20012849e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.67999019e-08   0.00000000e+00   0.00000000e+00   2.27373675e-13  
 1          1          1.00000000       3          9.14677187e-01   1.67999019e-08   0.00000000e+00   8.41425693e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.75605628e+00   0.00000000e+00   0.00000000e+00   4.66187712e-05  
 1          1          1.00000000       4          7.65147271e-01   1.75605628e+00   0.00000000e+00   1.76260639e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.28385199e+00   0.00000000e+00   0.00000000e+00   -4.20562713e-05 
 1          1          1.00000000       5          6.14376689e-01   4.28385199e+00   0.00000000e+00   6.08435864e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.50665511e+00   0.00000000e+00   0.00000000e+00   9.44129909e-06  
 1          1          1.00000000       6          4.86158738e-01   5.50665511e+00   0.00000000e+00   9.04384123e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.89718552e+00   0.00000000e+00   0.00000000e+00   1.24511411e-05  
 1          1          1.00000000       7          3.83887855e-01   6.89718552e+00   0.00000000e+00   1.76296073e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.04403134e+00   0.00000000e+00   0.00000000e+00   2.76320027e-06  
 1          1          1.00000000       8          3.03166290e-01   9.04403134e+00   0.00000000e+00   6.11948772e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.95913465e+00   0.00000000e+00   0.00000000e+00   1.17509670e-05  
 1          1          1.00000000       9          2.35023293e-01   9.95913465e+00   0.00000000e+00   9.10563904e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.11051217e+01   0.00000000e+00   0.00000000e+00   -3.99849550e-04 
 1          1          1.00000000       10         1.73552896e-01   1.11051217e+01   0.00000000e+00   1.77313981e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.30515262e+01   0.00000000e+00   0.00000000e+00   2.88243817e-04  
 1          1          1.00000000       11         1.26151548e-01   1.30515262e+01   0.00000000e+00   6.14590056e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.37642020e+01   0.00000000e+00   2.80262541e-02   3.94822337e-05  
 1          1          1.00000000       12         9.01277755e-02   1.37642020e+01   0.00000000e+00   9.13050435e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.45723604e+01   0.00000000e+00   1.94997576e-01   2.23076631e-05  
 1          1          1.00000000       13         7.02993589e-02   1.45723604e+01   0.00000000e+00   1.77207141e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.60675733e+01   0.00000000e+00   3.47154731e-01   3.06852657e-06  
 1          1          1.00000000       14         5.69527644e-02   1.60675733e+01   0.00000000e+00   6.12790557e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.61900638e+01   0.00000000e+00   5.47251276e-01   1.57658568e-06  
 1          1          1.00000000       15         4.66675884e-02   1.61900638e+01   0.00000000e+00   9.08572819e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.64312310e+01   0.00000000e+00   7.14072224e-01   9.45875513e-07  
 1          1          1.00000000       16         4.43049401e-02   1.64312310e+01   0.00000000e+00   1.75685486e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.73842256e+01   0.00000000e+00   8.48164758e-01   4.38543790e-07  
 1          1          1.00000000       17         4.28235436e-02   1.73842256e+01   0.00000000e+00   6.06017259e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.70679935e+01   0.00000000e+00   9.65072569e-01   3.81117513e-07  
