 IPER     ISTEP     TLEN                    STAIN                    GHBIN                    DRNIN                    STAOUT                    GHBOUT                    DRNOUT                    ABER                    RBER
 1          1          1.00000000       6.44427628e+00   3.63891934e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.28334697e+01   4.93713515e-10   1.15263489e-09  
 1          2          2.00000000       7.54772327e+00   7.50825061e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.26302294e+01   -4.04298817e-11  -4.89458795e-11 
 1          3          3.00000000       7.80499070e+00   1.14205239e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.22010230e+02   1.18141941e-10   9.68237135e-11  
 1          4          4.00000000       7.86141280e+00   1.53419065e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.61280477e+02   -1.90354399e-11  -1.18070988e-11 
 1          5          5.00000000       7.87349859e+00   1.92651700e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.00525199e+02   -1.04414255e-10  -5.20739344e-11 
 1          6          6.00000000       7.87604925e+00   2.31888249e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.39764298e+02   -1.31229712e-08  -5.47328584e-09 
 1          7          7.00000000       7.87661254e+00   2.71125611e+02   0.00000000e+00   1.17523768e-11   0.00000000e+00   2.79002233e+02   -9.48763687e-06  -3.40055953e-06 
 1          8          8.00000000       7.87671869e+00   3.10363157e+02   0.00000000e+00   5.88790559e-06   0.00000000e+00   3.18239885e+02   -1.50128441e-05  -4.71746156e-06 
 1          9          9.00000000       7.87673789e+00   3.49600721e+02   0.00000000e+00   6.29738094e-06   0.00000000e+00   3.57477500e+02   -4.69398477e-05  -1.31308544e-05 
 1          10         10.00000000      7.87674116e+00   3.88838289e+02   0.00000000e+00   6.36932599e-06   0.00000000e+00   3.96715110e+02   -8.57333315e-05  -2.16108077e-05 
 2          1          11.00000000      4.08484314e+01   3.88838289e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   4.17301854e+02   -8.57333314e-05  -1.99525186e-05 
 2          2          12.00000000      5.41012899e+01   3.91401006e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   4.33117429e+02   -8.57335047e-05  -1.92442323e-05 
 2          3          13.00000000      6.02894498e+01   3.98543722e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   4.46448306e+02   -8.57336161e-05  -1.86851373e-05 
 2          4          14.00000000      6.33777737e+01   4.07421589e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   4.58414496e+02   -8.57336123e-05  -1.82102210e-05 
 2          5          15.00000000      6.49610358e+01   4.17055386e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   4.69631555e+02   -8.57336708e-05  -1.77864611e-05 
 2          6          16.00000000      6.57946702e+01   4.27045389e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   4.80455193e+02   -8.57335111e-05  -1.73958066e-05 
 2          7          17.00000000      6.62290508e+01   4.37211817e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   4.91056001e+02   -8.57336803e-05  -1.70295418e-05 
 2          8          18.00000000      6.64545844e+01   4.47468528e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   5.01538246e+02   -8.57336166e-05  -1.66821860e-05 
 2          9          19.00000000      6.65724431e+01   4.57771049e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   5.11958626e+02   -8.57337078e-05  -1.63506751e-05 
 2          10         20.00000000      6.66338071e+01   4.68097482e+02   0.00000000e+00   6.36932599e-06   1.23849459e+01   5.22346422e+02   -8.57321100e-05  -1.60327449e-05 
 3          1          21.00000000      6.66338071e+01   5.34281311e+02   0.00000000e+00   4.64690883e+01   1.23849459e+01   5.42061170e+02   -8.57317237e-05  -1.42668598e-05 
 3          2          22.00000000      6.66338071e+01   5.76916010e+02   0.00000000e+00   5.63404142e+01   1.23849459e+01   5.74824543e+02   -8.57310537e-05  -1.33215869e-05 
 3          3          23.00000000      6.66338071e+01   6.16847635e+02   0.00000000e+00   5.82650905e+01   1.23849459e+01   6.12831492e+02   -8.57308437e-05  -1.25432577e-05 
 3          4          24.00000000      6.66338071e+01   6.56230639e+02   0.00000000e+00   5.86568299e+01   1.23849459e+01   6.51822756e+02   -8.57312515e-05  -1.18599340e-05 
 3          5          25.00000000      6.66338071e+01   6.95498681e+02   0.00000000e+00   5.87353980e+01   1.23849459e+01   6.91012230e+02   -8.57335350e-05  -1.12491636e-05 
 3          6          26.00000000      6.66338071e+01   7.34742683e+02   0.00000000e+00   5.87515694e+01   1.23849459e+01   7.30240061e+02   -8.57150565e-05  -1.06959779e-05 
 3          7          27.00000000      6.66338071e+01   7.73981626e+02   0.00000000e+00   5.87549227e+01   1.23849459e+01   7.69475646e+02   -8.12420317e-05  -9.66458916e-06 
 3          8          28.00000000      6.66338071e+01   8.13219537e+02   0.00000000e+00   5.87556213e+01   1.23849459e+01   8.08712758e+02   1.94283875e-05   2.20813930e-06  
 3          9          29.00000000      6.66338071e+01   8.52457321e+02   0.00000000e+00   5.87557290e+01   1.23849459e+01   8.47950081e+02   3.71828685e-04   4.04561364e-05  
 3          10         30.00000000      6.66338072e+01   8.91695072e+02   0.00000000e+00   5.87557533e+01   1.23849459e+01   8.87187451e+02   7.29033536e-04   7.60734471e-05  
