 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  DRNOUT                  ABER
 1          1          1.00000000       1          7.20000060e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.19986322e-09   0.00000000e+00   0.00000000e+00   1.37371596e-13  
 1          1          1.00000000       2          9.60000079e-09   7.19986322e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.68000724e-08   0.00000000e+00   0.00000000e+00   -2.08425869e-13 
 1          1          1.00000000       3          8.62933539e-01   1.68000724e-08   0.00000000e+00   3.62628437e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.22537319e+00   0.00000000e+00   0.00000000e+00   1.88802983e-04  
 1          1          1.00000000       4          8.24933907e-01   1.22537319e+00   0.00000000e+00   1.76538311e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.81589373e+00   0.00000000e+00   0.00000000e+00   -2.03521004e-04 
 1          1          1.00000000       5          5.55187119e-01   3.81589373e+00   0.00000000e+00   6.03066611e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.97411521e+00   0.00000000e+00   0.00000000e+00   3.22524852e-05  
 1          1          1.00000000       6          5.43186209e-01   4.97411521e+00   0.00000000e+00   8.81476727e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.39877035e+00   0.00000000e+00   0.00000000e+00   7.79713375e-06  
 1          1          1.00000000       7          3.39213436e-01   6.39877035e+00   0.00000000e+00   1.91816867e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.65617006e+00   0.00000000e+00   0.00000000e+00   -1.76005102e-05 
 1          1          1.00000000       8          3.52477225e-01   8.65617006e+00   0.00000000e+00   5.70610543e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.57931172e+00   0.00000000e+00   0.00000000e+00   -5.38991155e-05 
 1          1          1.00000000       9          1.87816289e-01   9.57931172e+00   0.00000000e+00   8.66881338e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.06340222e+01   0.00000000e+00   0.00000000e+00   -1.28422460e-05 
 1          1          1.00000000       10         2.29006505e-01   1.06340222e+01   0.00000000e+00   1.73825941e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.26013425e+01   0.00000000e+00   0.00000000e+00   -5.44270939e-05 
 1          1          1.00000000       11         9.52994902e-02   1.26013425e+01   0.00000000e+00   6.01345447e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.32751783e+01   0.00000000e+00   2.27804438e-02   2.87135811e-05  
 1          1          1.00000000       12         1.26965364e-01   1.32751783e+01   0.00000000e+00   8.82514526e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.40918320e+01   0.00000000e+00   1.92777716e-01   4.84940031e-05  
 1          1          1.00000000       13         7.36366545e-02   1.40918320e+01   0.00000000e+00   1.92068299e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.57846002e+01   0.00000000e+00   3.01546327e-01   5.08032227e-06  
 1          1          1.00000000       14         7.17567380e-02   1.57846002e+01   0.00000000e+00   5.69975252e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.58414570e+01   0.00000000e+00   5.84864073e-01   1.11309945e-05  
 1          1          1.00000000       15         6.00304258e-02   1.58414570e+01   0.00000000e+00   8.64075037e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.62257162e+01   0.00000000e+00   5.39841524e-01   4.79250041e-06  
 1          1          1.00000000       16         4.30256349e-02   1.62257162e+01   0.00000000e+00   1.72194652e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.70645122e+01   0.00000000e+00   9.26176400e-01   -2.85324930e-07 
 1          1          1.00000000       17         5.25627508e-02   1.70645122e+01   0.00000000e+00   5.93068643e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.69067217e+01   0.00000000e+00   8.03420928e-01   9.44601602e-07  
 1          1          1.00000000       18         3.85664585e-02   1.69067217e+01   0.00000000e+00   8.66989885e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.66523253e+01   0.00000000e+00   1.15995037e+00   2.44821279e-06  
 1          1          1.00000000       19         4.99772191e-02   1.66523253e+01   0.00000000e+00   1.87291630e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.75508624e+01   0.00000000e+00   1.02435496e+00   1.44640073e-06  
 1          1          1.00000000       20         4.10336230e-02   1.75508624e+01   0.00000000e+00   5.52494865e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.68015617e+01   0.00000000e+00   1.34282750e+00   1.64540438e-06  
 1          1          1.00000000       21         4.97629064e-02   1.68015617e+01   1.63510760e-02   8.34759689e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.64923757e+01   0.00000000e+00   1.21005864e+00   1.03172840e-06  
 1          1          1.00000000       22         4.92471319e-02   1.64923757e+01   0.00000000e+00   1.65020523e+00   0.00000000e+00   0.00000000e+00   1.63510760e-02   1.66800818e+01   0.00000000e+00   1.49539360e+00   1.57382691e-06  
 1          1          1.00000000       23         5.26655617e-02   1.66800818e+01   6.99125552e-02   5.65273413e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.59985302e+01   0.00000000e+00   1.36940248e+00   6.58169633e-07  
 1          1          1.00000000       24         5.82014154e-02   1.59985302e+01   0.00000000e+00   8.22501515e-01   0.00000000e+00   0.00000000e+00   6.99125552e-02   1.51819456e+01   0.00000000e+00   1.62737369e+00   1.25186311e-06  
 1          1          1.00000000       25         6.18801874e-02   1.51819456e+01   1.05874318e-01   1.76072477e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.56054900e+01   0.00000000e+00   1.50493415e+00   8.15427782e-07  
 1          1          1.00000000       26         6.78850314e-02   1.56054900e+01   4.67081221e-03   5.15506187e-01   0.00000000e+00   0.00000000e+00   1.05874318e-01   1.43473343e+01   0.00000000e+00   1.74034251e+00   8.85315799e-07  
 1          1          1.00000000       27         7.18307987e-02   1.43473343e+01   1.36350375e-01   7.75461123e-01   0.00000000e+00   0.00000000e+00   4.67081221e-03   1.37060382e+01   0.00000000e+00   1.62026695e+00   6.11158049e-07  
 1          1          1.00000000       28         7.82899563e-02   1.37060382e+01   4.46984202e-02   1.51596923e+00   0.00000000e+00   0.00000000e+00   1.36350375e-01   1.33728564e+01   0.00000000e+00   1.83578815e+00   8.96481808e-07  
 1          1          1.00000000       29         8.24984647e-02   1.33728564e+01   1.61486074e-01   5.15168536e-01   0.00000000e+00   0.00000000e+00   4.46984202e-02   1.23706978e+01   0.00000000e+00   1.71661284e+00   3.65379847e-07  
