 IPER     ISTEP     TLEN                    STAIN                    GHBIN                    WELIN                    DRNIN                    STAOUT                    GHBOUT                    WELOUT                    DRNOUT                    ABER                    RBER
 1          1          1.00000000       3.76515931e+01   1.13840346e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.44772978e+02   6.71896027e+00   7.09798201e-07   4.68538595e-07  
 1          2          2.00000000       5.22586516e+01   2.35194087e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.77032920e+02   1.04198157e+01   3.47518414e-06   1.20895845e-06  
 1          3          3.00000000       5.79439317e+01   3.58722785e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.03812846e+02   1.28538314e+01   3.86431963e-05   9.27436642e-06  
 1          4          4.00000000       6.01925055e+01   4.82923165e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.28432602e+02   1.46830077e+01   6.11445708e-05   1.12581127e-05  
 1          5          5.00000000       6.11504892e+01   6.07332332e+02   0.00000000e+00   0.00000000e+00   1.36418654e-14   0.00000000e+00   6.52270761e+02   1.62119642e+01   9.61317986e-05   1.43805948e-05  
 1          6          6.00000000       6.15829678e+01   7.31804235e+02   0.00000000e+00   0.00000000e+00   4.49630611e-12   0.00000000e+00   7.75817084e+02   1.75700034e+01   1.15873081e-04   1.46048600e-05  
 1          7          7.00000000       6.17871790e+01   8.56295730e+02   0.00000000e+00   0.00000000e+00   4.49630611e-12   0.00000000e+00   8.99248555e+02   1.88342253e+01   1.28812565e-04   1.40306037e-05  
 1          8          8.00000000       6.18866911e+01   9.80793632e+02   0.00000000e+00   0.00000000e+00   8.92610985e-12   0.00000000e+00   1.02262997e+03   2.00502428e+01   1.14864404e-04   1.10162633e-05  
 1          9          9.00000000       6.19360362e+01   1.10529374e+03   0.00000000e+00   0.00000000e+00   5.90895182e-09   0.00000000e+00   1.14598879e+03   2.12408772e+01   1.05607079e-04   9.04766878e-06  
 1          10         10.00000000      6.19608417e+01   1.22979464e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.26933695e+03   2.24184213e+01   1.11423296e-04   8.62572693e-06  
 2          1          11.00000000      1.01291163e+02   1.26529119e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.34306925e+03   2.35129696e+01   1.29004490e-04   9.43993578e-06  
 2          2          12.00000000      1.14349585e+02   1.31132246e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.40118015e+03   2.44917576e+01   1.32112567e-04   9.26668753e-06  
 2          3          13.00000000      1.19230207e+02   1.35920582e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.45306729e+03   2.53686194e+01   1.18701962e-04   8.02888760e-06  
 2          4          14.00000000      1.21248116e+02   1.40751862e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.50259793e+03   2.61686739e+01   1.37508354e-04   8.99472472e-06  
 2          5          15.00000000      1.22162239e+02   1.45595257e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.55120765e+03   2.69069981e+01   1.57339499e-04   9.97009259e-06  
 2          6          16.00000000      1.22601853e+02   1.50442710e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.59943001e+03   2.75987680e+01   1.75440354e-04   1.07828667e-05  
 2          7          17.00000000      1.22823562e+02   1.55291689e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.64748294e+03   2.82573371e+01   1.73848875e-04   1.03744518e-05  
 2          8          18.00000000      1.22940187e+02   1.60141274e+03   0.00000000e+00   0.00000000e+00   6.47892078e-09   0.00000000e+00   1.69545895e+03   2.88938314e+01   1.44132727e-04   8.35865625e-06  
 2          9          19.00000000      1.23003882e+02   1.64991111e+03   0.00000000e+00   0.00000000e+00   1.47600176e-06   0.00000000e+00   1.74339888e+03   2.95159880e+01   1.27453662e-04   7.18893276e-06  
 2          10         20.00000000      1.23039795e+02   1.69841057e+03   0.00000000e+00   0.00000000e+00   7.60202441e-06   0.00000000e+00   1.79132129e+03   3.01289389e+01   1.29086499e-04   7.08701736e-06  
 3          1          21.00000000      1.23039795e+02   1.84661666e+03   0.00000000e+00   0.00000000e+00   4.47473298e+01   0.00000000e+00   1.89414064e+03   3.07683386e+01   1.44822148e-04   7.35266059e-06  
 3          2          22.00000000      1.23039795e+02   1.97486017e+03   0.00000000e+00   0.00000000e+00   5.47284602e+01   0.00000000e+00   2.01169188e+03   3.14794855e+01   1.37915006e-04   6.57395554e-06  
