 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  WELIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  WELOUT                  DRNOUT                  ABER
 1          1          1.00000000       1          7.20000060e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.20005270e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.21064673e-14 
 1          1          1.00000000       2          9.60000079e-09   7.20005270e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.67999967e-08   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.68434189e-14  
 1          1          1.00000000       3          9.37599547e-01   1.67999967e-08   0.00000000e+00   4.66327702e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.40392723e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.89257777e-08  
 1          1          1.00000000       4          1.00052755e+00   1.40392723e+00   0.00000000e+00   2.87234250e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.27679439e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.87766544e-06  
 1          1          1.00000000       5          9.21783775e-01   5.27679439e+00   0.00000000e+00   1.02556529e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.22414560e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.14352324e-06 
 1          1          1.00000000       6          1.00576260e+00   7.22414560e+00   0.00000000e+00   1.55697708e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.78688515e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.37021969e-07  
 1          1          1.00000000       7          9.38027616e-01   9.78688515e+00   0.00000000e+00   3.59671183e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.43216255e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.84193730e-07 
 1          1          1.00000000       8          1.03237937e+00   1.43216255e+01   0.00000000e+00   1.11562713e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.64696338e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.81284890e-06 
 1          1          1.00000000       9          9.65470706e-01   1.64696338e+01   0.00000000e+00   1.73207888e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.91671819e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.43900450e-06  
 1          1          1.00000000       10         1.09234234e+00   1.91671819e+01   0.00000000e+00   3.64602418e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.39055466e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.88653501e-06  
 1          1          1.00000000       11         1.03731275e+00   2.39055466e+01   0.00000000e+00   1.30114560e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.62440080e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.13300738e-06 
 1          1          1.00000000       12         1.14488072e+00   2.62440080e+01   0.00000000e+00   1.95943222e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.93483211e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.13068271e-07 
 1          1          1.00000000       13         1.08739031e+00   2.93483211e+01   0.00000000e+00   4.47490854e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.49106173e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.64084955e-06  
 1          1          1.00000000       14         1.19424335e+00   3.49106173e+01   0.00000000e+00   1.37895088e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.74838111e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.41015359e-07  
 1          1          1.00000000       15         1.12979709e+00   3.74838111e+01   0.00000000e+00   2.13510754e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.07487148e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.52735505e-07  
 1          1          1.00000000       16         1.23763645e+00   4.07487148e+01   0.00000000e+00   4.47478496e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.64609190e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.17135581e-04  
 1          1          1.00000000       17         1.17105496e+00   4.64609190e+01   0.00000000e+00   1.59340574e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.92256039e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.24207014e-04 
 1          1          1.00000000       18         1.25817193e+00   4.92256039e+01   0.00000000e+00   2.39599395e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.28800130e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.43200275e-04 
 1          1          1.00000000       19         1.16436217e+00   5.28800130e+01   0.00000000e+00   5.45742407e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.95017013e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.79586697e-05  
 1          1          1.00000000       20         1.26810583e+00   5.95017013e+01   0.00000000e+00   1.67799558e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.24475897e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.13042780e-04  
 1          1          1.00000000       21         1.17286136e+00   6.24475897e+01   0.00000000e+00   2.59440041e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.62149350e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.35840261e-05 
 1          1          1.00000000       22         1.28025592e+00   6.62149350e+01   0.00000000e+00   5.41110629e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.29061724e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.24875806e-04  
 1          1          1.00000000       23         1.19949660e+00   7.29061724e+01   0.00000000e+00   1.91924060e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.60252898e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.80228717e-04 
 1          1          1.00000000       24         1.31648243e+00   7.60252898e+01   0.00000000e+00   2.87379070e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.02152793e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.83644676e-04  
 1          1          1.00000000       25         1.27688305e+00   8.02152793e+01   0.00000000e+00   6.47428234e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.79664708e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.60827896e-05 
 1          1          1.00000000       26         1.38943841e+00   8.79664708e+01   0.00000000e+00   1.97004610e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.13259616e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.35128114e-06 
 1          1          1.00000000       27         1.35667059e+00   9.13259616e+01   0.00000000e+00   3.02506143e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.57076667e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.69729518e-05  
 1          1          1.00000000       28         1.48772604e+00   9.57076667e+01   0.00000000e+00   6.18094813e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.03376326e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.47525150e-05  
 1          1          1.00000000       29         1.47494590e+00   1.03376326e+02   0.00000000e+00   2.15871363e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.07010013e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.74097433e-05 
 1          1          1.00000000       30         1.58486258e+00   1.07010013e+02   0.00000000e+00   3.18450025e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.11779373e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.72166069e-06  
 1          1          1.00000000       31         1.21449079e+00   1.11779373e+02   0.00000000e+00   6.94066375e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.19934524e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.22053364e-06  
 1          1          1.00000000       32         9.45468127e-01   1.19934524e+02   0.00000000e+00   2.05150649e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.22931500e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.57974456e-07 
 1          1          1.00000000       33         4.71268505e-01   1.22931500e+02   0.00000000e+00   3.09426505e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.26497051e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.77686508e-05 
 1          1          1.00000000       34         4.33776122e-01   1.26497051e+02   0.00000000e+00   6.02237139e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.32953187e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.16786412e-05  
 1          1          1.00000000       35         2.58913367e-01   1.32953187e+02   0.00000000e+00   2.02923702e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.35075220e+02   0.00000000e+00   0.00000000e+00   1.67171483e-01   -1.05358915e-03 
 1          1          1.00000000       36         2.49947339e-01   1.35075220e+02   0.00000000e+00   2.89309091e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.37539858e+02   0.00000000e+00   0.00000000e+00   6.77275161e-01   1.12424624e-03  
 1          1          1.00000000       37         2.67534526e-01   1.37539858e+02   4.64471452e+01   5.81267380e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.43893655e+01   0.00000000e+00   1.44772978e+02   9.05440180e-01   -5.71789300e-04 
 1          1          1.00000000       38         2.21299341e-01   4.43893655e+01   2.75123435e+01   1.58071807e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.64471452e+01   2.58271365e+01   0.00000000e+00   0.00000000e+00   1.42862212e+00   8.22607705e-04  
 1          1          1.00000000       39         2.26667309e-01   2.58271365e+01   1.32674694e+01   2.24078701e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.75123435e+01   1.25337092e+01   0.00000000e+00   0.00000000e+00   1.51632659e+00   -3.19162271e-04 
 1          1          1.00000000       40         2.35755745e-01   1.25337092e+01   0.00000000e+00   2.52213890e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.32674694e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.02412472e+00   9.75611936e-06  
 1          2          2.00000000       1          7.20000060e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.20005270e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.21064673e-14 
 1          2          2.00000000       2          9.60000079e-09   7.20005270e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.67999967e-08   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.68434189e-14  
 1          2          2.00000000       3          9.48243411e-01   1.67999967e-08   0.00000000e+00   9.49909034e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.89814688e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.58393102e-06  
 1          2          2.00000000       4          1.02976429e+00   1.89814688e+00   0.00000000e+00   6.01988728e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.94784132e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.28696659e-05 
 1          2          2.00000000       5          9.82500496e-01   8.94784132e+00   0.00000000e+00   2.14890374e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.20791851e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.04602726e-05  
 1          2          2.00000000       6          1.09104910e+00   1.20791851e+01   0.00000000e+00   3.27343539e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.64437372e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.76125703e-05 
 1          2          2.00000000       7          1.04887444e+00   1.64437372e+01   0.00000000e+00   7.57619382e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.50688606e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.51352874e-05 
 1          2          2.00000000       8          1.17459599e+00   2.50688606e+01   0.00000000e+00   2.35048606e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.85939059e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.67088684e-05  
 1          2          2.00000000       9          1.15663572e+00   2.85939059e+01   0.00000000e+00   3.64831238e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.33988102e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.38057778e-05  
 1          2          2.00000000       10         1.27668019e+00   3.33988102e+01   0.00000000e+00   7.66953512e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.23450211e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.38407896e-06  
 1          2          2.00000000       11         1.24105193e+00   4.23450211e+01   0.00000000e+00   2.73408526e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.63202010e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.26273704e-05 
 1          2          2.00000000       12         1.38479598e+00   4.63202010e+01   0.00000000e+00   4.11308764e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.18180251e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.94980631e-05  
 1          2          2.00000000       13         1.36411717e+00   5.18180251e+01   0.00000000e+00   9.37356489e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.25556928e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.43761374e-05  
 1          2          2.00000000       14         1.49460922e+00   6.25556928e+01   0.00000000e+00   2.88361582e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.69337509e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.66887602e-04  
 1          2          2.00000000       15         1.46909199e+00   6.69337509e+01   0.00000000e+00   4.46059360e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.28637577e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.21159298e-04 
